run_id,L1,L2,n_samples,n_iter,train_time_s,final_loss,pos_MAE_mm,pos_Max_mm,pos_STD_mm,q1_MAE_deg,q2_MAE_deg,traj_MAE_mm,traj_Max_mm
GEOM_A,1.0,0.8,25000,114,74.1,0.00036,32.3087,3067.2215,71.4498,1.7111,0.2823,39.937,1438.8992
GEOM_B,1.0,1.0,25000,70,46.12,0.000466,49.5632,3431.6235,119.6836,2.3632,0.4527,42.203,1555.4984
GEOM_C,0.8,1.0,25000,86,56.99,0.000292,45.628,3160.0626,93.5778,2.2518,0.4121,40.9208,1617.2558
GEOM_D,0.5,0.5,25000,75,49.45,0.00035,18.8148,1531.4195,51.1609,1.604,0.4664,17.222,816.043
